,lat,lon,postcode,city,state,village,first_postcode_part,second_postcode_part
841,52.20991722030545,-9.126963292554665,0,0,Munster,0,0,0
842,52.248641679737986,-8.959474218175654,0,0,Munster,0,0,0
843,52.287154683991155,-8.791656163209378,0,0,Munster,0,0,0
844,52.32543416239278,-8.623602973963822,0,0,Munster,0,0,0
845,52.36350065447481,-8.45522215180076,0,The Municipal District of Cappamore — Kilmallock,Munster,0,0,0
846,52.401332339835996,-8.286607889270439,0,The Municipal District of Cappamore — Kilmallock,Munster,0,0,0
847,52.43893910870672,-8.117714312054314,E34 KH36,0,Munster,0,0,0
848,52.47633060306764,-7.94849525299922,0,0,Munster,0,0,0
849,52.51348538118742,-7.779045421253492,E91 R7R2,0,Munster,0,0,0
850,52.55042336544696,-7.609271629084595,0,0,Munster,0,0,0
851,52.58712336875493,-7.439268928096915,R95 YT25,0,Leinster,0,0,0
852,52.62360506425964,-7.268943858583874,R95 XV2D,0,Leinster,0,0,0
853,52.65984752124997,-7.098391812932409,R95 YE82,0,Leinster,0,0,0
854,52.69587016230359,-6.9275190616533004,0,0,Leinster,0,0,0
855,52.73165231482502,-6.75642133614878,0,0,Leinster,0,0,0
856,52.76721314949268,-6.585004639401929,0,0,Leinster,0,0,0
857,52.80253225355661,-6.413365039969247,0,0,Leinster,0,0,0
858,52.83762854447743,-6.241408275622031,0,0,Leinster,0,0,0
859,52.87248187107443,-6.069230750115971,0,0,Leinster,0,0,0
860,53.24032964589665,-4.157624214789022,LL59 5TD,0,Wales,Llandegfan,LL,59
861,53.27234085525516,-3.982261462530744,LL34 6UU,0,Wales,0,LL,34
862,53.30411009223811,-3.806644844165117,LL31 9JR,0,Wales,Llanrhos,LL,31
863,53.33562799744686,-3.630824437923304,0,0,Wales,0,0,0
864,53.36690277244398,-3.45475283992027,LL18 1RG,0,Wales,0,LL,18
865,53.39794235173042,-3.2783823857147096,0,0,England,0,0,0
866,53.42872887595284,-3.1018122354985342,CH46 2QY,0,England,Leasowe,CH,46
867,53.45927879336814,-2.9249457348749117,L9 7AD,Liverpool,England,0,L,9
868,53.48957452215549,-2.7478823557561207,WA11 7RT,0,England,Moss Bank,WA,11
869,53.51963224419773,-2.5705252065661344,WN2 5TE,0,England,0,WN,2
870,53.54943465683156,-2.3929740679348788,BL4 7QL,0,England,0,BL,4
871,53.57899767438656,-2.215131814124687,OL10 2QA,0,England,0,OL,10
872,53.60830427496918,-2.037098531377238,OL3 5UN,0,England,Denshaw,OL,3
873,53.63737010419104,-1.8587768628681445,HD7 4JJ,Kirklees,England,Golcar,HD,7
874,53.666178422526656,-1.6802671972423575,WF14 8HE,Kirklees,England,Lower Hopton,WF,14
875,53.69474460571973,-1.5014719497219866,WF1 2SB,Wakefield,England,Newton Hill,WF,1
876,53.72305219819712,-1.3224918080423207,WF10 3EU,Wakefield,England,Wheldon,WF,10
877,53.75111630469942,-1.143228962663318,YO8 9LG,0,England,0,YO,8
878,53.778920755175285,-0.9637843969939212,0,0,England,0,0,0
879,53.8064803822425,-0.7840600799794031,YO43 4DA,0,England,0,YO,43
880,53.833779302925436,-0.60415728718149,0,0,England,0,0,0
881,53.86083207661487,-0.4239777693356552,HU17 9UU,0,England,0,HU,17
882,53.88762310894865,-0.24362309053099,HU11 5BJ,0,England,Sigglesthorne,HU,11
883,53.91416668500247,-0.06299478665344058,0,0,England,0,0,0
884,52.115381677148655,-10.025521775420938,0,0,0,0,0,0
885,52.15530279708657,-9.859110923809089,0,0,Munster,0,0,0
886,52.19499398061148,-9.692458354762154,0,0,Munster,0,0,0
887,52.2344765395388,-9.52547224485949,0,0,Munster,0,0,0
888,52.27372785643755,-9.358245910586076,0,0,Munster,0,0,0
889,52.31276900108296,-9.190687243718227,0,The Municipal District of Newcastle West,Munster,0,0,0
890,52.35157760308588,-9.02288991213678,0,The Municipal District of Newcastle West,Munster,0,0,0
891,52.390174488788816,-8.854761524669055,0,The Municipal District of Newcastle West,Munster,0,0,0
892,52.42853753661194,-8.686396099330427,0,The Municipal District of Cappamore — Kilmallock,Munster,0,0,0
893,52.466687328080255,-8.517700963915951,0,The Municipal District of Cappamore — Kilmallock,Munster,0,0,0
894,52.504601992188405,-8.348770485225007,V94 K5P6,The Municipal District of Cappamore — Kilmallock,Munster,0,0,0
