"row" "col"
"549" 60 40
"550" 61 40
"551" 62 40
"552" 63 40
"553" 64 40
"554" 65 40
"555" 66 40
"556" 67 40
"557" 68 40
"558" 69 40
"559" 70 40
"560" 72 40
"561" 73 40
"562" 74 40
"563" 75 40
"564" 43 41
"565" 44 41
"566" 45 41
"567" 46 41
"568" 47 41
"569" 48 41
"570" 49 41
"571" 50 41
"572" 51 41
"573" 52 41
"574" 53 41
"575" 54 41
"576" 55 41
"577" 56 41
"578" 57 41
"579" 58 41
"580" 59 41
"581" 60 41
"582" 61 41
"583" 62 41
"584" 63 41
"585" 64 41
"586" 65 41
"587" 66 41
"588" 67 41
"589" 68 41
"590" 69 41
"591" 46 42
"592" 47 42
"593" 48 42
"594" 49 42
"595" 50 42
"596" 51 42
"597" 52 42
"598" 53 42
"599" 54 42
"600" 55 42
"601" 56 42
"602" 57 42
"603" 58 42
"604" 59 42
"605" 60 42
"606" 61 42
"607" 62 42
"608" 63 42
"609" 64 42
"610" 65 42
"611" 66 42
"612" 67 42
"613" 68 42
"614" 69 42
"615" 70 42
"616" 47 43
"617" 48 43
"618" 49 43
"619" 50 43
"620" 51 43
"621" 52 43
"622" 53 43
"623" 54 43
"624" 55 43
"625" 56 43
"626" 57 43
"627" 58 43
"628" 59 43
"629" 60 43
"630" 61 43
"631" 62 43
"632" 63 43
"633" 64 43
"634" 65 43
"635" 66 43
"636" 67 43
"637" 68 43
"638" 69 43
"639" 70 43
"640" 71 43
"641" 47 44
"642" 48 44
"643" 49 44
"644" 50 44
"645" 51 44
"646" 52 44
"647" 53 44
"648" 54 44
"649" 55 44
"650" 56 44
"651" 57 44
"652" 58 44
"653" 59 44
"654" 60 44
"655" 61 44
"656" 62 44
"657" 63 44
"658" 64 44
"659" 65 44
"660" 66 44
"661" 67 44
"662" 68 44
"663" 69 44
"664" 70 44
"665" 71 44
"666" 14 45
"667" 15 45
"668" 16 45
"669" 17 45
"670" 18 45
"671" 19 45
"672" 20 45
"673" 21 45
"674" 22 45
"675" 23 45
"676" 24 45
"677" 33 45
"678" 48 45
"679" 49 45
"680" 50 45
"681" 51 45
"682" 52 45
"683" 53 45
"684" 54 45
"685" 55 45
"686" 56 45
"687" 57 45
"688" 58 45
"689" 59 45
"690" 60 45
"691" 61 45
"692" 62 45
"693" 63 45
"694" 64 45
"695" 65 45
"696" 66 45
"697" 67 45
"698" 68 45
"699" 69 45
"700" 70 45
